2023-04-08_08-11-43.jpg: 1.27, Leaf
2023-04-09_08-10-55.jpg: 1.33, Leaf
2023-04-10_08-11-23.jpg: 1.33, Leaf
2023-04-11_08-11-27.jpg: 1.66, Leaf
2023-04-12_08-11-43.jpg: 1.82, Leaf
2023-04-13_08-10-55.jpg: 1.86, Leaf
2023-04-14_08-11-23.jpg: 1.93, Leaf
2023-04-15_08-11-27.jpg: 2.21, Leaf
2023-04-16_08-11-43.jpg: 2.46, Leaf
2023-04-17_08-10-55.jpg: 2.60, Leaf
2023-04-18_08-11-23.jpg: 2.93, Leaf
2023-04-19_08-11-27.jpg: 2.93, Leaf
2023-04-20_08-11-43.jpg: 3.30, Leaf
2023-04-21_08-10-55.jpg: 3.87, Leaf
2023-04-22_08-11-23.jpg: 4.06, Leaf
2023-04-23_08-11-27.jpg: 4.15, Leaf
2023-04-24_08-11-43.jpg: 4.27, Leaf
2023-04-25_08-10-55.jpg: 4.59, Leaf
2023-04-26_08-11-23.jpg: 4.75, Leaf
2023-04-27_08-11-27.jpg: 4.64, Leaf
2023-04-28_08-11-43.jpg: 4.64, Leaf
2023-05-16_08-11-06.jpg: 5.52, Leaf
2023-04-08_08-11-43.jpg: 6.46, Stem
2023-04-09_08-10-55.jpg: 6.85, Stem
2023-04-10_08-11-23.jpg: 6.52, Stem
2023-04-11_08-11-27.jpg: 6.57, Stem
2023-04-12_08-11-43.jpg: 6.85, Stem
2023-04-13_08-10-55.jpg: 6.91, Stem
2023-04-14_08-11-23.jpg: 7.24, Stem
2023-04-15_08-11-27.jpg: 7.62, Stem
2023-04-16_08-11-43.jpg: 7.79, Stem
2023-04-17_08-10-55.jpg: 7.96, Stem
2023-04-18_08-11-23.jpg: 8.07, Stem
2023-04-19_08-11-27.jpg: 8.12, Stem
2023-04-20_08-11-43.jpg: 8.34, Stem
2023-04-21_08-10-55.jpg: 8.45, Stem
2023-04-22_08-11-23.jpg: 8.73, Stem
2023-04-23_08-11-27.jpg: 8.90, Stem
2023-04-24_08-11-43.jpg: 9.06, Stem
2023-04-25_08-10-55.jpg: 9.23, Stem
2023-04-26_08-11-23.jpg: 9.23, Stem
2023-04-27_08-11-27.jpg: 9.23, Stem
2023-04-28_08-11-43.jpg: 9.45, Stem
2023-05-01_19-12-22.jpg: 10.17, Stem
2023-05-16_08-11-06.jpg: 10.33, Stem
2023-05-16_08-11-06.jpg: 16.33, Stem
