2023-05-18_08-42-43.jpg: 4.97, Leaf
2023-05-18_09-10-14.jpg: 5.04, Leaf
2023-05-19_08-42-33.jpg: 5.04, Leaf
2023-05-19_09-10-19.jpg: 5.02, Leaf
2023-05-20_08-42-13.jpg: 5.02, Leaf
2023-05-20_09-10-22.jpg: 5.04, Leaf
2023-05-21_08-40-43.jpg: 5.02, Leaf
2023-05-21_09-10-16.jpg: 5.04, Leaf
2023-05-22_08-41-43.jpg: 5.02, Leaf
2023-05-22_09-10-30.jpg: 5.04, Leaf
2023-05-23_08-41-21.jpg: 5.02, Leaf
2023-05-23_09-10-07.jpg: 5.04, Leaf
2023-05-24_08-41-43.jpg: 4.94, Leaf
2023-05-24_09-10-17.jpg: 4.92, Leaf
2023-05-25_08-40-43.jpg: 5.02, Leaf
2023-05-25_09-10-39.jpg: 4.90, Leaf
2023-05-26_08-40-13.jpg: 5.02, Leaf
2023-05-26_09-10-13.jpg: 4.90, Leaf
2023-05-27_08-41-03.jpg: 4.94, Leaf
2023-05-27_09-10-24.jpg: 4.90, Leaf
2023-05-28_08-42-43.jpg: 4.95, Leaf
2023-05-28_09-10-08.jpg: 4.90, Leaf
2023-05-29_08-40-46.jpg: 4.95, Leaf
2023-05-29_09-10-25.jpg: 4.90, Leaf
2023-05-18_08-42-43.jpg: 25.43, Stem
2023-05-18_09-10-14.jpg: 41.31, Stem
2023-05-19_08-42-33.jpg: 25.55, Stem
2023-05-19_09-10-19.jpg: 41.54, Stem
2023-05-20_08-42-13.jpg: 25.77, Stem
2023-05-20_09-10-22.jpg: 41.89, Stem
2023-05-21_08-40-43.jpg: 25.90, Stem
2023-05-21_09-10-16.jpg: 42.03, Stem
2023-05-22_08-41-43.jpg: 25.97, Stem
2023-05-22_09-10-30.jpg: 42.23, Stem
2023-05-23_08-41-21.jpg: 26.21, Stem
2023-05-23_09-10-07.jpg: 42.45, Stem
2023-05-24_08-41-43.jpg: 26.45, Stem
2023-05-24_09-10-17.jpg: 42.71, Stem
2023-05-25_08-40-43.jpg: 26.77, Stem
2023-05-25_09-10-39.jpg: 42.97, Stem
2023-05-26_08-40-13.jpg: 27.08, Stem
2023-05-26_09-10-13.jpg: 43.37, Stem
2023-05-27_08-41-03.jpg: 27.26, Stem
2023-05-27_09-10-24.jpg: 43.81, Stem
2023-05-28_08-42-43.jpg: 27.44, Stem
2023-05-28_09-10-08.jpg: 44.22, Stem
2023-05-29_08-40-46.jpg: 27.79, Stem
2023-05-29_09-10-25.jpg: 44.31, Stem
